2025-11-10 08:31:03 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:04 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32778 HTTP/1.1" 200 None
2025-11-10 08:31:04 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:04 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32728 HTTP/1.1" 200 None
2025-11-10 08:31:04 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:05 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/32728/notes HTTP/1.1" 201 None
2025-11-10 08:31:05 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:06 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32455 HTTP/1.1" 200 None
2025-11-10 08:31:06 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:07 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32341 HTTP/1.1" 200 None
2025-11-10 08:31:07 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:08 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/32341/notes HTTP/1.1" 201 None
2025-11-10 08:31:08 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:09 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32263 HTTP/1.1" 200 None
2025-11-10 08:31:09 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:10 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/32263/notes HTTP/1.1" 201 None
2025-11-10 08:31:10 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:10 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32187 HTTP/1.1" 200 None
2025-11-10 08:31:10 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:11 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/32187/notes HTTP/1.1" 201 None
2025-11-10 08:31:11 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:12 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32084 HTTP/1.1" 200 None
2025-11-10 08:31:12 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:13 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31898 HTTP/1.1" 200 None
2025-11-10 08:31:13 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:14 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31897 HTTP/1.1" 200 None
2025-11-10 08:31:14 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:14 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31897/notes HTTP/1.1" 201 None
2025-11-10 08:31:14 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:15 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31851 HTTP/1.1" 200 None
2025-11-10 08:31:15 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:16 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31812 HTTP/1.1" 200 None
2025-11-10 08:31:16 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:17 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31812/notes HTTP/1.1" 201 None
2025-11-10 08:31:17 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:18 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31796 HTTP/1.1" 200 None
2025-11-10 08:31:18 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:19 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31796/notes HTTP/1.1" 201 None
2025-11-10 08:31:19 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:20 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31789 HTTP/1.1" 200 None
2025-11-10 08:31:20 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:21 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31789/notes HTTP/1.1" 201 None
2025-11-10 08:31:21 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:22 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31788 HTTP/1.1" 200 None
2025-11-10 08:31:22 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:23 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31788/notes HTTP/1.1" 201 None
2025-11-10 08:31:23 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:24 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31786 HTTP/1.1" 200 None
2025-11-10 08:31:24 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:25 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31786/notes HTTP/1.1" 201 None
2025-11-10 08:31:25 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:25 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31772 HTTP/1.1" 200 None
2025-11-10 08:31:25 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:26 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31772/notes HTTP/1.1" 201 None
2025-11-10 08:31:26 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:27 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31656 HTTP/1.1" 200 None
2025-11-10 08:31:27 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:28 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/31656/notes HTTP/1.1" 201 None
2025-11-10 08:31:28 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:29 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31420 HTTP/1.1" 200 None
2025-11-10 08:31:29 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:30 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31294 HTTP/1.1" 200 None
2025-11-10 08:31:30 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:30 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/30924 HTTP/1.1" 200 None
2025-11-10 08:31:30 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:31 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/30350 HTTP/1.1" 200 None
2025-11-10 08:31:31 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:32 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/30196 HTTP/1.1" 200 None
2025-11-10 08:31:32 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:32 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/29798 HTTP/1.1" 200 None
2025-11-10 08:31:32 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:33 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/29759 HTTP/1.1" 200 None
2025-11-10 08:31:33 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:34 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/29176 HTTP/1.1" 200 None
2025-11-10 08:31:34 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:35 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/29176/notes HTTP/1.1" 201 None
2025-11-10 08:31:35 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:35 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/29172 HTTP/1.1" 200 None
2025-11-10 08:31:35 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:36 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/28756 HTTP/1.1" 200 None
2025-11-10 08:31:36 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:37 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/28700 HTTP/1.1" 200 None
2025-11-10 08:31:37 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:38 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/28471 HTTP/1.1" 200 None
2025-11-10 08:31:38 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
